
Date,Visitor,G,Home,G,,,Att.,LOG,Notes,Notes
2015-11-28,New York Islanders,3,Tampa Bay Lightning,2,,,19092,143,,
2015-11-28,Washington Capitals,4,Toronto Maple Leafs,2,,,19053,145,,
2015-11-29,Florida Panthers,2,Detroit Red Wings,1,OT,,20027,158,,
2015-11-30,Vancouver Canucks,0,Anaheim Ducks,4,,,14006,149,,
2015-11-30,Colorado Avalanche,3,New York Islanders,5,,,11585,146,,
2015-11-30,Carolina Hurricanes,3,New York Rangers,4,,,18006,146,,
2015-11-30,Edmonton Oilers,0,Toronto Maple Leafs,3,,,19559,147,,
2015-12-01,Dallas Stars,3,Calgary Flames,4,SO,,19237,152,,
2015-12-01,Minnesota Wild,2,Chicago Blackhawks,1,,,21580,149,,
2015-12-01,Buffalo Sabres,4,Detroit Red Wings,5,SO,,20027,167,,
2015-12-01,Vancouver Canucks,1,Los Angeles Kings,2,OT,,18230,150,,
2015-12-01,Columbus Blue Jackets,1,Montreal Canadiens,2,,,21288,148,,
2015-12-01,Colorado Avalanche,2,New Jersey Devils,1,,,14019,145,,
2015-12-01,Arizona Coyotes,2,Nashville Predators,5,,,15091,148,,
2015-12-01,Philadelphia Flyers,4,Ottawa Senators,2,,,17010,154,,
2015-12-01,Pittsburgh Penguins,5,San Jose Sharks,1,,,16624,147,,
2015-12-01,Florida Panthers,3,St. Louis Blues,1,,,15395,148,,
2015-12-02,Tampa Bay Lightning,2,Anaheim Ducks,1,,,14741,160,,
2015-12-02,Boston Bruins,2,Edmonton Oilers,3,SO,,16839,169,,
2015-12-02,New York Rangers,1,New York Islanders,2,SO,,15795,158,,
2015-12-02,Toronto Maple Leafs,1,Winnipeg Jets,6,,,15294,147,,
2015-12-03,New Jersey Devils,5,Carolina Hurricanes,1,,,9254,155,,
2015-12-03,Arizona Coyotes,1,Detroit Red Wings,5,,,20027,151,,
2015-12-03,Toronto Maple Leafs,0,Minnesota Wild,1,,,18880,146,,
2015-12-03,Washington Capitals,3,Montreal Canadiens,2,,,21288,150,,
2015-12-03,Florida Panthers,2,Nashville Predators,1,,,15405,146,,
2015-12-03,Colorado Avalanche,2,New York Rangers,1,,,18006,139,,
2015-12-03,Chicago Blackhawks,3,Ottawa Senators,4,OT,,17171,161,,
2015-12-03,Dallas Stars,4,Vancouver Canucks,2,,,18302,154,,
2015-12-04,San Jose Sharks,0,Anaheim Ducks,1,,,15701,146,,
2015-12-04,Arizona Coyotes,2,Buffalo Sabres,5,,,18204,154,,
2015-12-04,Florida Panthers,2,Columbus Blue Jackets,1,SO,,14062,163,,
2015-12-04,Boston Bruins,4,Calgary Flames,5,OT,,19289,161,,
2015-12-04,Dallas Stars,1,Edmonton Oilers,2,OT,,16839,144,,
2015-12-04,Philadelphia Flyers,4,New Jersey Devils,3,OT,,14825,154,,
2015-12-04,St. Louis Blues,1,New York Islanders,2,SO,,12873,154,,
2015-12-05,Montreal Canadiens,2,Carolina Hurricanes,3,,,10687,156,,
2015-12-05,Nashville Predators,4,Detroit Red Wings,5,OT,,20027,159,,
2015-12-05,Pittsburgh Penguins,3,Los Angeles Kings,5,,,18230,148,,
2015-12-05,Colorado Avalanche,0,Minnesota Wild,3,,,19173,148,,
2015-12-05,New York Islanders,2,Ottawa Senators,3,OT,,17281,157,,
2015-12-05,Columbus Blue Jackets,4,Philadelphia Flyers,1,,,18202,150,,
2015-12-05,Tampa Bay Lightning,4,San Jose Sharks,3,,,16089,156,,
2015-12-05,Toronto Maple Leafs,4,St. Louis Blues,1,,,18698,151,,
2015-12-05,Boston Bruins,4,Vancouver Canucks,0,,,18570,144,,
2015-12-05,Washington Capitals,1,Winnipeg Jets,2,OT,,15294,166,,
2015-12-06,Pittsburgh Penguins,1,Anaheim Ducks,2,,,15836,149,,
2015-12-06,Arizona Coyotes,4,Carolina Hurricanes,5,,,9021,147,,
2015-12-06,Winnipeg Jets,1,Chicago Blackhawks,3,,,21749,161,,
2015-12-06,Buffalo Sabres,2,Edmonton Oilers,4,,,16839,161,,
2015-12-06,Tampa Bay Lightning,1,Los Angeles Kings,3,,,18230,155,,
2015-12-06,Florida Panthers,2,New Jersey Devils,4,,,13643,148,,
2015-12-06,Ottawa Senators,1,New York Rangers,4,,,18006,150,,
2015-12-07,Nashville Predators,3,Boston Bruins,2,,,17565,156,,
2015-12-07,Minnesota Wild,1,Colorado Avalanche,2,OT,,16589,153,,
2015-12-07,Buffalo Sabres,2,Vancouver Canucks,5,,,18278,148,,
2015-12-08,Los Angeles Kings,3,Columbus Blue Jackets,2,OT,,15633,155,,
2015-12-08,San Jose Sharks,2,Calgary Flames,4,,,19289,159,,
2015-12-08,Nashville Predators,1,Chicago Blackhawks,4,,,21432,146,,
2015-12-08,Carolina Hurricanes,5,Dallas Stars,6,,,18287,154,,
2015-12-08,Ottawa Senators,4,Florida Panthers,2,,,11571,141,,
2015-12-08,New York Islanders,4,Philadelphia Flyers,3,SO,,18108,163,,
2015-12-08,Arizona Coyotes,1,St. Louis Blues,4,,,16301,155,,
2015-12-08,New Jersey Devils,2,Toronto Maple Leafs,3,SO,,19043,166,,
2015-12-08,Detroit Red Wings,2,Washington Capitals,3,SO,,18506,161,,
2015-12-09,Pittsburgh Penguins,4,Colorado Avalanche,2,,,15838,149,,
2015-12-09,San Jose Sharks,3,Edmonton Oilers,4,OT,,16839,160,,
2015-12-09,Boston Bruins,3,Montreal Canadiens,1,,,21288,157,,
2015-12-09,New York Rangers,1,Vancouver Canucks,2,,,18195,148,,
2015-12-10,Buffalo Sabres,3,Calgary Flames,4,,,18565,153,,
2015-12-10,Montreal Canadiens,2,Detroit Red Wings,3,,,20027,154,,
2015-12-10,Washington Capitals,1,Florida Panthers,4,,,12810,167,,
2015-12-10,Chicago Blackhawks,1,Nashville Predators,5,,,17113,151,,
2015-12-10,Philadelphia Flyers,4,St. Louis Blues,2,,,14428,147,,
2015-12-10,Ottawa Senators,1,Tampa Bay Lightning,4,,,19092,152,,
2015-12-10,Columbus Blue Jackets,4,Winnipeg Jets,6,,,15294,154,,
2015-12-11,Carolina Hurricanes,5,Anaheim Ducks,1,,,17174,147,,
2015-12-11,Minnesota Wild,1,Arizona Coyotes,2,OT,,14404,156,,
2015-12-11,Winnipeg Jets,0,Chicago Blackhawks,2,,,22021,142,,
2015-12-11,Philadelphia Flyers,1,Dallas Stars,3,,,18532,155,,
2015-12-11,New York Rangers,5,Edmonton Oilers,7,,,16839,159,,
2015-12-11,Detroit Red Wings,2,New Jersey Devils,3,OT,,16514,154,,
2015-12-11,Los Angeles Kings,3,Pittsburgh Penguins,2,SO,,18489,171,,
2015-12-12,Carolina Hurricanes,5,Arizona Coyotes,4,OT,,12668,154,,
2015-12-12,Florida Panthers,1,Boston Bruins,3,,,17565,151,,
2015-12-12,Los Angeles Kings,1,Buffalo Sabres,2,OT,,18133,152,,
2015-12-12,New York Islanders,3,Columbus Blue Jackets,2,OT,,12342,149,,
2015-12-12,New York Rangers,4,Calgary Flames,5,OT,,19289,152,,
2015-12-12,Ottawa Senators,1,Montreal Canadiens,3,,,21288,156,,
2015-12-12,Colorado Avalanche,3,Nashville Predators,2,,,17113,156,,
2015-12-12,Minnesota Wild,2,San Jose Sharks,0,,,16766,145,,
2015-12-12,Dallas Stars,0,St. Louis Blues,3,,,15023,153,,
2015-12-12,Washington Capitals,2,Tampa Bay Lightning,1,,,19092,152,,
2015-12-13,Vancouver Canucks,0,Chicago Blackhawks,4,,,21711,143,,
2015-12-13,New Jersey Devils,0,New York Islanders,4,,,13259,145,,
2015-12-13,Colorado Avalanche,3,St. Louis Blues,1,,,17961,139,,
2015-12-14,Edmonton Oilers,3,Boston Bruins,2,OT,,17565,158,,
2015-12-14,Tampa Bay Lightning,2,Columbus Blue Jackets,1,,,12494,147,,
2015-12-14,Buffalo Sabres,2,Detroit Red Wings,1,,,20027,146,,
2015-12-14,Los Angeles Kings,3,Ottawa Senators,5,,,17829,152,,
2015-12-14,Washington Capitals,4,Pittsburgh Penguins,1,,,18520,156,,
2015-12-15,New Jersey Devils,2,Buffalo Sabres,0,,,18297,142,,
2015-12-15,Colorado Avalanche,3,Chicago Blackhawks,0,,,21473,144,,
2015-12-15,Columbus Blue Jackets,1,Dallas Stars,5,,,18232,151,,
2015-12-15,Vancouver Canucks,2,Minnesota Wild,6,,,18804,151,,
2015-12-15,San Jose Sharks,3,Montreal Canadiens,1,,,21288,146,,
2015-12-15,Calgary Flames,2,Nashville Predators,1,OT,,15431,146,,
2015-12-15,Florida Panthers,5,New York Islanders,1,,,13656,147,,
2015-12-15,Edmonton Oilers,2,New York Rangers,4,,,18006,141,,
2015-12-15,Carolina Hurricanes,3,Philadelphia Flyers,4,OT,,18205,149,,
2015-12-15,Tampa Bay Lightning,5,Toronto Maple Leafs,4,OT,,18989,158,,
2015-12-15,St. Louis Blues,4,Winnipeg Jets,3,,,15294,146,,
2015-12-16,Pittsburgh Penguins,0,Boston Bruins,3,,,17565,154,,
2015-12-16,Ottawa Senators,1,Washington Capitals,2,,,18506,147,,
2015-12-17,Columbus Blue Jackets,7,Arizona Coyotes,5,,,11120,152,,
2015-12-17,Anaheim Ducks,0,Buffalo Sabres,3,,,18801,151,,
2015-12-17,Edmonton Oilers,0,Chicago Blackhawks,4,,,21451,145,,
2015-12-17,New York Islanders,1,Colorado Avalanche,2,,,15811,143,,
2015-12-17,Calgary Flames,3,Dallas Stars,1,,,18410,145,,
2015-12-17,New York Rangers,2,Minnesota Wild,5,,,19090,147,,
2015-12-17,Los Angeles Kings,3,Montreal Canadiens,0,,,21288,149,,
2015-12-17,Florida Panthers,5,New Jersey Devils,1,,,12512,141,,
2015-12-17,Vancouver Canucks,0,Philadelphia Flyers,2,,,17943,153,,
2015-12-17,Nashville Predators,1,St. Louis Blues,2,,,17882,146,,
2015-12-17,San Jose Sharks,5,Toronto Maple Leafs,4,OT,,18966,161,,
2015-12-18,Florida Panthers,2,Carolina Hurricanes,0,,,10511,144,,
2015-12-18,Vancouver Canucks,4,Detroit Red Wings,3,SO,,20027,164,,
2015-12-18,San Jose Sharks,2,Ottawa Senators,4,,,17990,154,,
2015-12-18,Boston Bruins,6,Pittsburgh Penguins,2,,,18585,154,,
2015-12-18,New York Rangers,2,Winnipeg Jets,5,,,15294,145,,
2015-12-18,Tampa Bay Lightning,3,Washington Capitals,5,,,18506,145,,
2015-12-19,New York Islanders,0,Arizona Coyotes,1,,,11878,143,,
2015-12-19,Chicago Blackhawks,3,Buffalo Sabres,2,SO,,18870,158,,
2015-12-19,Philadelphia Flyers,2,Columbus Blue Jackets,3,SO,,14030,164,,
2015-12-19,Edmonton Oilers,1,Colorado Avalanche,5,,,17570,144,,
2015-12-19,Montreal Canadiens,2,Dallas Stars,6,,,18532,155,,
2015-12-19,Anaheim Ducks,2,New Jersey Devils,1,,,16514,140,,
2015-12-19,Minnesota Wild,2,Nashville Predators,3,,,17117,146,,
2015-12-19,Carolina Hurricanes,2,Pittsburgh Penguins,1,,,18590,137,,
2015-12-19,Calgary Flames,2,St. Louis Blues,3,,,18163,153,,
2015-12-19,Los Angeles Kings,0,Toronto Maple Leafs,5,,,19362,148,,
2015-12-20,New Jersey Devils,1,Boston Bruins,2,SO,,17565,163,,
2015-12-20,San Jose Sharks,3,Chicago Blackhawks,4,OT,,22096,161,,
2015-12-20,Calgary Flames,2,Detroit Red Wings,4,,,20027,145,,
2015-12-20,Vancouver Canucks,4,Florida Panthers,5,SO,,13459,271,,
2015-12-20,Washington Capitals,7,New York Rangers,3,,,18006,151,,
2015-12-20,Ottawa Senators,2,Tampa Bay Lightning,5,,,19092,152,,
2015-12-21,Washington Capitals,2,Carolina Hurricanes,1,,,13228,137,,
2015-12-21,Toronto Maple Leafs,7,Colorado Avalanche,4,,,16084,155,,
2015-12-21,Winnipeg Jets,1,Edmonton Oilers,3,,,16839,157,,
2015-12-21,Dallas Stars,6,Minnesota Wild,3,,,19047,161,,
2015-12-21,Montreal Canadiens,1,Nashville Predators,5,,,17113,152,,
2015-12-21,Anaheim Ducks,2,New York Islanders,5,,,13578,146,,
2015-12-21,St. Louis Blues,3,Philadelphia Flyers,4,,,19676,151,,
2015-12-21,Columbus Blue Jackets,2,Pittsburgh Penguins,5,,,18602,155,,
2015-12-22,Toronto Maple Leafs,2,Arizona Coyotes,3,,,12234,159,,
2015-12-22,St. Louis Blues,2,Boston Bruins,0,,,17565,146,,
2015-12-22,Winnipeg Jets,1,Calgary Flames,4,,,19289,155,,
2015-12-22,Chicago Blackhawks,0,Dallas Stars,4,,,18532,146,,
2015-12-22,New Jersey Devils,4,Detroit Red Wings,3,,,20027,152,,
2015-12-22,Ottawa Senators,1,Florida Panthers,2,SO,,14538,161,,
2015-12-22,San Jose Sharks,5,Los Angeles Kings,3,,,18493,153,,
2015-12-22,Montreal Canadiens,1,Minnesota Wild,2,,,19105,151,,
2015-12-22,Anaheim Ducks,2,New York Rangers,3,OT,,18006,158,,
2015-12-22,Vancouver Canucks,2,Tampa Bay Lightning,1,,,19092,150,,
2015-12-26,Los Angeles Kings,4,Arizona Coyotes,3,OT,,15277,156,,
2015-12-26,Buffalo Sabres,6,Boston Bruins,3,,,17565,147,,
2015-12-26,New Jersey Devils,1,Carolina Hurricanes,3,,,11654,135,,
2015-12-26,Pittsburgh Penguins,3,Minnesota Wild,1,,,19234,150,,
2015-12-26,Detroit Red Wings,3,Nashville Predators,2,,,17208,146,,
2015-12-26,Dallas Stars,2,St. Louis Blues,3,SO,,19185,171,,
2015-12-26,Columbus Blue Jackets,2,Tampa Bay Lightning,5,,,19092,158,,
2015-12-26,Edmonton Oilers,1,Vancouver Canucks,2,OT,,18570,154,,
2015-12-26,Montreal Canadiens,1,Washington Capitals,3,,,18506,151,,
2015-12-27,Philadelphia Flyers,2,Anaheim Ducks,4,,,17322,149,,
2015-12-27,Edmonton Oilers,3,Calgary Flames,5,,,19289,146,,
2015-12-27,Carolina Hurricanes,2,Chicago Blackhawks,1,,,22157,142,,
2015-12-27,Arizona Coyotes,2,Colorado Avalanche,1,OT,,18064,161,,
2015-12-27,St. Louis Blues,0,Dallas Stars,3,,,18532,158,,
2015-12-27,Columbus Blue Jackets,2,Florida Panthers,3,,,16902,147,,
2015-12-27,Toronto Maple Leafs,3,New York Islanders,1,,,15795,140,,
2015-12-27,Boston Bruins,1,Ottawa Senators,3,,,20061,145,,
2015-12-27,Pittsburgh Penguins,0,Winnipeg Jets,1,,,15294,140,,
2015-12-28,Washington Capitals,2,Buffalo Sabres,0,,,19070,150,,
2015-12-28,Detroit Red Wings,1,Minnesota Wild,3,,,19110,145,,
2015-12-28,New York Rangers,3,Nashville Predators,5,,,17317,153,,
2015-12-28,Colorado Avalanche,6,San Jose Sharks,3,,,17562,143,,
2015-12-28,Montreal Canadiens,4,Tampa Bay Lightning,3,SO,,19092,180,,
2015-12-28,Los Angeles Kings,5,Vancouver Canucks,0,,,18570,149,,
2015-12-29,Chicago Blackhawks,7,Arizona Coyotes,5,,,17197,163,,
2015-12-29,Ottawa Senators,3,Boston Bruins,7,,,17565,167,,
2015-12-29,Dallas Stars,3,Columbus Blue Jackets,6,,,15836,158,,
2015-12-29,Anaheim Ducks,1,Calgary Flames,0,,,19289,138,,
2015-12-29,Los Angeles Kings,5,Edmonton Oilers,2,,,16839,150,,
2015-12-29,Montreal Canadiens,1,Florida Panthers,3,,,19822,149,,
2015-12-29,Carolina Hurricanes,2,New Jersey Devils,3,,,16514,145,,
2015-12-29,Nashville Predators,3,St. Louis Blues,4,OT,,19319,163,,
2015-12-29,New York Islanders,6,Toronto Maple Leafs,3,,,19899,152,,
2015-12-29,Detroit Red Wings,1,Winnipeg Jets,4,,,15294,142,,
2015-12-30,New Jersey Devils,3,Ottawa Senators,0,,,19825,135,,
2015-12-30,Toronto Maple Leafs,3,Pittsburgh Penguins,2,SO,,18662,167,,
2015-12-30,Philadelphia Flyers,2,San Jose Sharks,4,,,17562,152,,
2015-12-30,New York Rangers,5,Tampa Bay Lightning,2,,,19092,151,,
2015-12-30,Buffalo Sabres,2,Washington Capitals,5,,,18506,158,,
2015-12-31,Winnipeg Jets,2,Arizona Coyotes,4,,,14027,154,,
2015-12-31,New York Islanders,2,Buffalo Sabres,1,,,19070,147,,
2015-12-31,Washington Capitals,2,Carolina Hurricanes,4,,,14134,146,,
2015-12-31,Los Angeles Kings,4,Calgary Flames,1,,,19289,145,,
2015-12-31,Chicago Blackhawks,4,Colorado Avalanche,3,OT,,18048,149,,
2015-12-31,Nashville Predators,1,Dallas Stars,5,,,18532,152,,
2015-12-31,Pittsburgh Penguins,5,Detroit Red Wings,2,,,20027,158,,
2015-12-31,Anaheim Ducks,1,Edmonton Oilers,0,,,16839,146,,
2015-12-31,Minnesota Wild,3,St. Louis Blues,1,,,19194,140,,
2016-01-01,Montreal Canadiens,5,Boston Bruins,1,,,32767,172,,
2016-01-01,Anaheim Ducks,1,Vancouver Canucks,2,SO,,18570,150,,
2016-01-02,Detroit Red Wings,4,Buffalo Sabres,3,,,19070,148,,
2016-01-02,Nashville Predators,2,Carolina Hurricanes,1,OT,,12149,156,,
2016-01-02,Washington Capitals,4,Columbus Blue Jackets,5,SO,,17170,168,,
2016-01-02,Calgary Flames,4,Colorado Avalanche,0,,,18087,146,,
2016-01-02,Arizona Coyotes,3,Edmonton Oilers,4,SO,,16839,167,,
2016-01-02,New York Rangers,0,Florida Panthers,3,,,20289,145,,
2016-01-02,Philadelphia Flyers,1,Los Angeles Kings,2,,,18230,153,,
2016-01-02,Dallas Stars,2,New Jersey Devils,3,OT,,16514,151,,
2016-01-02,New York Islanders,2,Pittsburgh Penguins,5,,,18665,148,,
2016-01-02,Winnipeg Jets,4,San Jose Sharks,1,,,17562,146,,
2016-01-02,Minnesota Wild,2,Tampa Bay Lightning,3,SO,,19092,165,,
2016-01-02,St. Louis Blues,1,Toronto Maple Leafs,4,,,19221,157,,
2016-01-03,Winnipeg Jets,1,Anaheim Ducks,4,,,17174,148,,
2016-01-03,Ottawa Senators,0,Chicago Blackhawks,3,,,22016,141,,
2016-01-03,Minnesota Wild,1,Florida Panthers,2,,,15426,153,,
2016-01-03,Dallas Stars,5,New York Islanders,6,,,14054,156,,
2016-01-04,Los Angeles Kings,1,Colorado Avalanche,4,,,15202,150,,
2016-01-04,Carolina Hurricanes,0,Edmonton Oilers,1,OT,,16839,144,,
2016-01-04,Detroit Red Wings,1,New Jersey Devils,0,,,15547,137,,
2016-01-04,Ottawa Senators,3,St. Louis Blues,2,OT,,19152,159,,
2016-01-04,Arizona Coyotes,3,Vancouver Canucks,2,,,18377,156,,
2016-01-05,Washington Capitals,3,Boston Bruins,2,,,17565,146,,
2016-01-05,Florida Panthers,5,Buffalo Sabres,1,,,18560,147,,
2016-01-05,Minnesota Wild,4,Columbus Blue Jackets,2,,,12411,149,,
2016-01-05,Tampa Bay Lightning,1,Calgary Flames,3,,,18966,141,,
2016-01-05,Winnipeg Jets,4,Nashville Predators,1,,,17113,145,,
2016-01-05,Dallas Stars,2,New York Rangers,6,,,18006,144,,
2016-01-05,Montreal Canadiens,3,Philadelphia Flyers,4,,,19163,157,,
2016-01-05,Chicago Blackhawks,3,Pittsburgh Penguins,2,OT,,18658,148,,
2016-01-06,Toronto Maple Leafs,4,Anaheim Ducks,0,,,16283,155,,
2016-01-06,Pittsburgh Penguins,1,Chicago Blackhawks,3,,,21908,147,,
2016-01-06,St. Louis Blues,3,Colorado Avalanche,4,OT,,13359,154,,
2016-01-06,New Jersey Devils,1,Montreal Canadiens,2,,,21288,150,,
2016-01-06,Carolina Hurricanes,2,Vancouver Canucks,3,,,18364,143,,
2016-01-07,Arizona Coyotes,2,Calgary Flames,1,,,19272,147,,
2016-01-07,Winnipeg Jets,1,Dallas Stars,2,SO,,18532,162,,
2016-01-07,Toronto Maple Leafs,1,Los Angeles Kings,2,,,18230,155,,
2016-01-07,Philadelphia Flyers,4,Minnesota Wild,3,OT,,19125,154,,
2016-01-07,Washington Capitals,4,New York Islanders,1,,,14261,142,,
2016-01-07,Florida Panthers,3,Ottawa Senators,2,,,17150,145,,
2016-01-07,Detroit Red Wings,2,San Jose Sharks,1,,,16856,149,,
2016-01-08,St. Louis Blues,3,Anaheim Ducks,4,SO,,16250,175,,
2016-01-08,Columbus Blue Jackets,1,Carolina Hurricanes,4,,,14241,156,,
2016-01-08,Buffalo Sabres,1,Chicago Blackhawks,3,,,22142,148,,
2016-01-08,Nashville Predators,3,Colorado Avalanche,5,,,17680,150,,
2016-01-08,Tampa Bay Lightning,3,Edmonton Oilers,2,,,16839,152,,
2016-01-08,Boston Bruins,4,New Jersey Devils,1,,,16514,138,,
2016-01-09,Nashville Predators,0,Arizona Coyotes,4,,,12345,147,,
2016-01-09,Carolina Hurricanes,4,Columbus Blue Jackets,3,OT,,16532,156,,
2016-01-09,Minnesota Wild,2,Dallas Stars,1,,,18532,154,,
2016-01-09,St. Louis Blues,2,Los Angeles Kings,1,SO,,18413,167,,
2016-01-09,Pittsburgh Penguins,3,Montreal Canadiens,1,,,21288,154,,
2016-01-09,Washington Capitals,4,New York Rangers,3,OT,,18006,155,,
2016-01-09,Boston Bruins,1,Ottawa Senators,2,OT,,19125,158,,
2016-01-09,New York Islanders,0,Philadelphia Flyers,4,,,19874,145,,
2016-01-09,Toronto Maple Leafs,0,San Jose Sharks,7,,,17281,146,,
2016-01-09,Tampa Bay Lightning,3,Vancouver Canucks,2,OT,,18335,157,,
2016-01-10,Detroit Red Wings,2,Anaheim Ducks,1,,,17174,146,,
2016-01-10,Colorado Avalanche,3,Chicago Blackhawks,6,,,22007,143,,
2016-01-10,Florida Panthers,2,Edmonton Oilers,1,,,16839,145,,
2016-01-10,New Jersey Devils,2,Minnesota Wild,1,,,19028,139,,
2016-01-10,Buffalo Sabres,4,Winnipeg Jets,2,,,15294,164,,
2016-01-10,Ottawa Senators,1,Washington Capitals,7,,,18506,152,,
2016-01-11,San Jose Sharks,5,Calgary Flames,4,,,19227,161,,
2016-01-11,Detroit Red Wings,2,Los Angeles Kings,4,,,18230,143,,
2016-01-11,Boston Bruins,1,New York Rangers,2,,,18006,141,,
2016-01-11,Florida Panthers,2,Vancouver Canucks,3,OT,,18570,148,,
2016-01-12,Edmonton Oilers,3,Arizona Coyotes,4,OT,,11391,158,,
2016-01-12,Pittsburgh Penguins,2,Carolina Hurricanes,3,OT,,13012,141,,
2016-01-12,Nashville Predators,2,Chicago Blackhawks,3,,,21618,148,,
2016-01-12,Tampa Bay Lightning,4,Colorado Avalanche,0,,,14227,138,,
2016-01-12,Buffalo Sabres,3,Minnesota Wild,2,,,19034,153,,
2016-01-12,Columbus Blue Jackets,2,New York Islanders,5,,,13115,145,,
2016-01-12,New Jersey Devils,2,St. Louis Blues,5,,,17951,159,,
2016-01-12,San Jose Sharks,4,Winnipeg Jets,1,,,15294,148,,
2016-01-13,Ottawa Senators,1,Anaheim Ducks,4,,,15791,146,,
2016-01-13,Florida Panthers,0,Calgary Flames,6,,,18702,141,,
2016-01-13,Boston Bruins,2,Philadelphia Flyers,3,,,19704,142,,
2016-01-13,Columbus Blue Jackets,3,Toronto Maple Leafs,1,,,18903,152,,
2016-01-14,Detroit Red Wings,3,Arizona Coyotes,2,OT,,12014,151,,
2016-01-14,New Jersey Devils,0,Colorado Avalanche,3,,,15636,139,,
2016-01-14,Chicago Blackhawks,2,Montreal Canadiens,1,,,21288,148,,
2016-01-14,New York Rangers,1,New York Islanders,3,,,15795,142,,
2016-01-14,Edmonton Oilers,1,San Jose Sharks,2,SO,,15379,149,,
2016-01-14,Carolina Hurricanes,4,St. Louis Blues,1,,,19282,143,,
2016-01-14,Nashville Predators,4,Winnipeg Jets,5,OT,,15294,158,,
2016-01-14,Vancouver Canucks,1,Washington Capitals,4,,,18605,143,,
2016-01-15,Dallas Stars,2,Anaheim Ducks,4,,,16201,156,,
2016-01-15,Boston Bruins,4,Buffalo Sabres,1,,,18704,150,,
2016-01-15,Vancouver Canucks,3,Carolina Hurricanes,2,OT,,11657,150,,
2016-01-15,Winnipeg Jets,1,Minnesota Wild,0,,,19222,139,,
2016-01-15,Pittsburgh Penguins,4,Tampa Bay Lightning,5,OT,,19092,162,,
2016-01-15,Chicago Blackhawks,4,Toronto Maple Leafs,1,,,20049,150,,
2016-01-16,New Jersey Devils,2,Arizona Coyotes,0,,,11745,145,,
2016-01-16,Toronto Maple Leafs,2,Boston Bruins,3,,,17565,161,,
2016-01-16,Washington Capitals,1,Buffalo Sabres,4,,,19070,148,,
2016-01-16,Colorado Avalanche,1,Columbus Blue Jackets,2,,,17776,148,,
2016-01-16,Calgary Flames,1,Edmonton Oilers,2,SO,,16839,165,,
2016-01-16,Ottawa Senators,5,Los Angeles Kings,3,,,18230,149,,
2016-01-16,Minnesota Wild,0,Nashville Predators,3,,,17302,149,,
2016-01-16,New York Rangers,3,Philadelphia Flyers,2,SO,,19843,156,,
2016-01-16,Dallas Stars,3,San Jose Sharks,4,OT,,17562,158,,
2016-01-16,Montreal Canadiens,3,St. Louis Blues,4,OT,,19501,168,,
2016-01-17,Los Angeles Kings,3,Anaheim Ducks,2,,,17227,160,,
2016-01-17,Montreal Canadiens,2,Chicago Blackhawks,5,,,22030,145,,
2016-01-17,Philadelphia Flyers,2,Detroit Red Wings,1,SO,,20027,159,,
2016-01-17,Vancouver Canucks,2,New York Islanders,1,SO,,15795,170,,
2016-01-17,Carolina Hurricanes,0,Pittsburgh Penguins,5,,,18528,148,,
2016-01-17,Florida Panthers,1,Tampa Bay Lightning,3,,,19092,144,,
2016-01-17,New York Rangers,2,Washington Capitals,5,,,18506,159,,
2016-01-18,Buffalo Sabres,2,Arizona Coyotes,1,,,11134,152,,
2016-01-18,Edmonton Oilers,4,Florida Panthers,2,,,14897,147,,
2016-01-18,Ottawa Senators,4,San Jose Sharks,3,SO,,16619,158,,
2016-01-18,Pittsburgh Penguins,2,St. Louis Blues,5,,,19312,150,,
2016-01-18,Colorado Avalanche,2,Winnipeg Jets,1,,,15294,140,,
2016-01-19,Washington Capitals,6,Columbus Blue Jackets,3,,,12291,148,,
2016-01-19,Dallas Stars,2,Los Angeles Kings,3,,,18230,154,,
2016-01-19,Boston Bruins,4,Montreal Canadiens,1,,,21288,148,,
2016-01-19,Calgary Flames,2,New Jersey Devils,4,,,14319,142,,
2016-01-19,Chicago Blackhawks,4,Nashville Predators,1,,,17122,144,,
2016-01-19,Vancouver Canucks,2,New York Rangers,3,OT,,18006,151,,
2016-01-19,Toronto Maple Leafs,3,Philadelphia Flyers,2,,,19319,158,,
2016-01-19,Edmonton Oilers,4,Tampa Bay Lightning,6,,,19092,151,,
2016-01-20,Minnesota Wild,1,Anaheim Ducks,3,,,15962,148,,
2016-01-20,Buffalo Sabres,1,Colorado Avalanche,2,,,13274,140,,
2016-01-20,St. Louis Blues,2,Detroit Red Wings,1,,,20027,149,,
2016-01-21,San Jose Sharks,3,Arizona Coyotes,1,,,12251,142,,
2016-01-21,Vancouver Canucks,4,Boston Bruins,2,,,17565,145,,
2016-01-21,Calgary Flames,4,Columbus Blue Jackets,2,,,12492,132,,
2016-01-21,Edmonton Oilers,2,Dallas Stars,3,,,18532,155,,
2016-01-21,Minnesota Wild,3,Los Angeles Kings,0,,,18230,157,,
2016-01-21,Ottawa Senators,3,New Jersey Devils,6,,,14772,149,,
2016-01-21,Philadelphia Flyers,3,Pittsburgh Penguins,4,,,18652,159,,
2016-01-21,Chicago Blackhawks,1,Tampa Bay Lightning,2,,,19092,142,,
2016-01-21,Carolina Hurricanes,1,Toronto Maple Leafs,0,OT,,18981,149,,
2016-01-21,Nashville Predators,4,Winnipeg Jets,1,,,15294,144,,
